Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
497.182 2.12471 235.583 192.901 1.00914 1.04106 0.2 0.5 0.7 1 1.4 1.8 2.1 2.7 3.3 3.8 4.5 5.3 0.103449 0.0866185 3.55485e-07 0.283022 0.18886 0.187397 0.0315674 0.0580639 0.0656655 3.57362e-11 7.58804e-12 0.00450044 0.0828886 0.106425 0.0932161 0.195015 0.188055 0.106042 0.106272 0.0798585 0.0570704 0.00827185 7.338e-09 0.0179453
421.048 1.79935 192.535 149.853 1.00664 1.03611 0.0001 0.6 1.1 1.2 1.7 2 2.3 2.9 3.5 4.1 4.5 5.2 0.0355816 0.265964 0.118264 0.183595 0.197457 4.83543e-11 0.122048 0.0511511 0.0259894 7.49401e-15 0.00659194 5.59203e-12 0.0593497 0.264887 0.0121608 0.275541 0.135816 0.0767875 0.0812199 0.0777203 0.0292619 0.0233627 1.96108e-11 3.19467e-12
417.171 1.78278 190.139 147.457 1.00643 1.02652 0.2 0.6 0.8 1.3 1.4 2 2.2 2.8 3.4 3.8 4.4 5.1 0.0611497 0.132911 0.2078 0.0604542 0.261611 0.0916489 0.0893341 0.0648769 0.026157 0.00385089 0.00663888 4.75731e-14 0.105515 0.102009 0.169476 0.257872 0.0590045 0.130522 0.061656 0.0934984 0.00515308 0.0418161 6.15804e-11 5.21805e-15
496.98 2.12384 235.478 192.796 1.00889 1.10801 0.1 0.3 0.7 1.1 1.6 1.7 2.3 2.9 3.4 3.5 4.2 5.3 0.0308913 0.116736 0.0848586 0.3365 4.74954e-05 0.276843 0.0551629 0.0564864 0.0477914 9.9547e-12 1.53655e-13 0.00356885 0.0295991 0.0961504 0.20299 0.22067 0.123235 0.127595 0.124983 0.0743149 0.0232256 0.0347315 0.0166298 0.0338876
548.63 2.34457 261.086 218.405 1.00907 1.07521 0.2 0.4 0.8 1.2 1.6 2.1 2.2 3.1 3.3 4.2 4.6 5.9 0.0756627 0.0331279 0.260927 0.254724 0.0990606 0.0734952 0.137581 0.0130789 0.0523624 1.20753e-10 0.0090487 1.15835e-12 0.0698087 0.0904473 0.238649 0.152409 0.207055 8.4903e-09 0.157028 0.104009 1.6912e-12 0.0346643 5.17346e-08 0.0211418
421.426 1.80097 192.768 150.086 1.00627 1.04094 0.2 0.4 0.8 1.2 1.5 2 2.4 2.9 3.4 3.9 4.3 4.4 0.0315879 0.102563 0.264498 0.124043 0.215388 0.104548 0.0875683 0.0385927 0.0293117 7.54807e-09 0.00816701 1.31859e-08 0.0822073 0.0803638 0.208156 0.192457 0.149651 0.122155 0.0852566 0.0650716 0.0160316 0.0395919 6.27021e-11 4.2824e-09
425.797 1.81964 195.44 152.758 1.00649 1.04425 0.3 0.7 0.8 1.1 1.5 1.6 2.1 2.7 3.3 4 4.3 4.8 0.102334 0.15614 0.0947466 0.151692 0.240113 3.28693e-12 0.146227 0.0693156 0.0359558 2.65898e-14 0.00996164 6.91726e-11 0.156825 5.89362e-13 0.216764 0.140873 0.141048 0.0825933 0.143652 0.0824315 0.048453 0.0283139 0.00329828 4.51625e-11
502.461 2.14727 238.319 195.637 1.00885 1.17227 0.0001 0.4 1 1.5 1.6 2 2.3 2.9 3.4 3.9 4 5.2 0.0492607 0.132472 0.311245 0.203883 0.0619229 0.12832 0.00623721 0.0676793 0.0433174 0 1.11022e-16 0.00451169 0.0332668 0.174848 0.33029 0.0266545 0.220764 5.30499e-10 0.163107 0.0744192 0.0503837 0.0310326 0.0205134 0.0469948
418.836 1.7899 191.171 148.489 1.00634 1.04215 0.2 0.5 0.8 0.9 1.4 1.8 2.1 2.7 3.3 3.7 4.2 4.4 0.0523149 0.1008 0.2216 0.0470197 0.299997 0.0210394 0.14997 0.068416 0.0323128 0.0058655 3.97667e-09 0.00700373 0.10333 0.0634511 0.146023 0.120433 0.276287 0.0221042 0.145315 0.0955555 0.0226053 0.0321638 0.0148769 3.34486e-08
419.185 1.79139 191.387 148.705 1.006 1.04022 0.2 0.5 0.7 1 1.4 2 2.3 2.7 3.3 3.7 4.2 4.4 0.0575274 0.0485375 0.222627 0.107589 0.281621 0.136138 0.0443116 0.0613046 0.0366666 0.000497986 0.00918178 4.20632e-10 0.108576 0.0130128 0.193067 0.133084 0.258145 0.133405 0.0420079 0.088645 0.0250264 0.0293368 0.0159177 3.5083e-14
