Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
4072.8 17.4051 780.294 737.612 1 2.49748 0.0001 0.5 0.7 1.1 1.4 1.7 2.2 2.6 3.2 3.8 4.4 4.8 0.0303314 0.138644 0.140345 0.224673 0.093975 0.163032 0.0813288 0.0636397 0.0606884 0.00334307 1.13706e-09 1.34999e-06 0.0292988 0.0747684 0.101728 0.276037 0.193743 0.352188 0.245697 2.43006e-05 0.142132 0.449319 0.348227 0.28432
452.735 1.93476 211.328 168.646 1 1.05696 0.0001 0.5 0.6 1.1 1.6 1.6 2.1 2.6 3.3 3.9 4.1 5.2 0.0322385 0.0483638 0.204771 0.273781 0.0935135 0.114737 0.106363 0.0818762 0.0379201 0.00169691 0.00473993 7.31748e-13 0.0629718 0.075866 0.139505 0.287495 0.111584 0.0762478 0.103222 0.109443 0.0264368 0.0365599 0.0116931 0.0159312
454.368 1.94175 212.261 169.579 1 1.06331 0.2 0.4 0.7 1 1.4 1.7 2.2 2.5 3.1 3.8 4.5 5 0.0334936 0.0889257 0.164097 0.192625 0.169303 0.141927 0.0885123 0.0603394 0.0475449 0.0130953 0.000135223 8.93357e-07 0.0621643 0.106119 0.0984942 0.236432 0.10467 0.176792 0.100552 0.0457535 0.0744485 0.0280307 0.0298533 2.34251e-08
538.829 2.30269 256.417 213.736 1 1.06835 0.0001 0.3 0.8 1.2 1.7 2 2.4 2.9 3.4 3.2 4.4 5.3 0.0306135 0.115115 0.16651 0.29177 0.202804 0.063169 0.0269559 0.0578753 0.0409488 0.0042387 2.12784e-10 5.84139e-10 0.00832542 0.141734 0.246748 0.178764 0.229545 0.0213946 0.112659 0.0200352 0.0267527 0.0424161 0.0234832 0.0164927
541.692 2.31492 257.79 215.108 1 1.05745 0.0001 0.3 0.7 1.1 1.6 1.9 2.2 2.9 3.3 3.4 4.2 5.1 0.0354548 0.102131 0.110068 0.300282 0.228092 0.0590235 0.0616013 0.0535799 0.0491961 0.00057136 1.4499e-12 1.27753e-09 0.027706 0.0963959 0.202521 0.221682 0.187917 0.0622398 0.107085 0.0778564 8.79881e-09 0.034535 0.0214101 0.0181035
542.554 2.31861 258.202 215.52 1 1.02313 0.0001 0.5 0.9 1.2 1.7 1.9 2.2 2.9 3.3 3.4 4.3 5.2 0.06649 0.139253 0.112907 0.285872 0.20494 0.025988 0.0605934 0.0546159 0.0490628 0.000277431 9.23909e-11 3.2038e-09 0.0526783 0.174517 0.182679 0.168833 0.208739 1.83126e-09 0.1114 0.072094 1.09642e-09 0.0282378 0.0122073 0.0117458
541.613 2.31458 257.752 215.07 1 1.08538 0.2 0.3 0.8 1.1 1.5 1.8 2.1 2.8 3.3 4.1 4.2 5.1 0.0689529 0.0772421 0.140761 0.23215 0.188866 0.111894 0.0680894 0.0550096 0.0570352 1.46451e-11 2.05601e-10 3.79915e-08 0.0370558 0.106396 0.25385 0.105834 0.209478 0.0407267 0.148771 0.0762896 0.0530667 0.0156302 0.0146417 0.0236379
541.014 2.31202 257.466 214.784 1 1.06461 0.1 0.3 0.8 1.2 1.7 1.7 2.1 2.6 3.2 3.1 4.1 5.1 0.0391023 0.104582 0.172438 0.283884 0.149586 0.0725339 0.0583201 0.0417833 0.0774252 0.000291866 8.99325e-10 5.31391e-05 0.0137565 0.134564 0.24498 0.190756 0.192944 0.00376128 0.0982934 0.0665656 0.0563637 0.0152514 0.0273667 0.0200083
542.479 2.31829 258.166 215.484 1 0.987567 0.0001 0.5 0.8 1.2 1.7 2 1.9 2.7 3.3 2.9 2.1 5 0.0678043 0.126288 0.0952883 0.328822 0.159469 0.0707771 0.0328118 0.0413667 0.0566665 0.0206114 9.57815e-05 1.51485e-09 0.0552806 0.150237 0.161786 0.224601 0.173505 1.80361e-05 0.000143221 0.0454777 0.0323847 0.0271506 0.112587 0.00439523
551.451 2.35663 262.415 219.733 1 1.14495 0.0001 0.6 1 1.2 1.5 1.9 2.1 2.9 3.4 3.6 4.4 5.2 0.0747668 0.189337 0.043493 0.271559 0.131624 0.137358 0.0423378 0.0703371 0.0391858 1.35283e-08 1.38814e-10 1.78839e-06 0.0634713 0.240721 0.119832 0.120408 0.161849 0.0689697 0.138513 0.109888 1.18974e-11 0.0532165 0.0385923 0.0294919
